City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
364,biak,-0.9131,122.8766,28.08,69,100,0.77,ID,1675060431
365,puerto carreno,6.189,-67.4859,23.75,58,8,5.39,CO,1675060431
366,balikpapan,-1.2675,116.8289,28.55,74,20,2.06,ID,1675060432
367,ostrovnoy,68.0531,39.5131,-3.1,87,100,8.47,RU,1675060432
368,nagato,34.3833,131.2,5.63,49,5,6.75,JP,1675060432
369,cidreira,-30.1811,-50.2056,21.05,91,5,0.73,BR,1675060433
370,necochea,-38.5473,-58.7368,15.17,84,0,4.81,AR,1675060215
371,natal,-5.795,-35.2094,26.12,78,40,4.12,BR,1675060404
372,maarianhamina,60.0973,19.9348,3.92,75,0,5.14,AX,1675060433
373,san luis,-33.295,-66.3356,22.17,60,93,1.8,AR,1675060434
374,hun,29.1268,15.9477,8.96,33,0,1.24,LY,1675060434
375,taoudenni,22.6783,-3.9836,11.65,18,62,4.41,ML,1675060435
376,sinnamary,5.3833,-52.95,23.54,88,100,2.59,GF,1675060435
377,naze,28.3667,129.4833,14.51,54,7,6.19,JP,1675060436
378,belaya gora,68.5333,146.4167,-28.19,97,100,3.37,RU,1675060436
379,morant bay,17.8815,-76.4093,24.79,84,16,4.82,JM,1675060437
380,cairns,-16.9167,145.7667,31.7,78,40,4.12,AU,1675060250
381,paldiski,59.3567,24.0531,3.0,93,100,9.26,EE,1675060437
382,arica,-18.475,-70.3042,23.13,73,100,1.54,CL,1675060172
383,ayotzintepec,17.6667,-96.1333,18.83,89,3,1.52,MX,1675060438
384,niquelandia,-14.4739,-48.4597,19.31,95,37,1.01,BR,1675060438
